Gene,Log2FoldChange,PValue,FDR
PHKB,0.265410972222222,0.0002010012241458,0.0256602861474446
ZNF564,0.2575601388888904,0.0002093270568813,0.0263805765274827
TEKT2,0.7672075000000005,0.0002086983589126,0.0263805765274827
AKAP8,0.2379576388888917,0.0002190517136862,0.027256687918175
METTL7A,0.6354119444444439,0.0002181631361393,0.027256687918175
ZNF137,0.4530628472222213,0.0002213671169537,0.0273715567252264
C13orf38,0.7107424305555563,0.0002328592866189,0.0286125848433064
LANCL2,1.2833785416666643,0.0002379826295597,0.0287212526597865
ANGPTL2,-0.5377644444444449,0.000241048153045,0.0287212526597865
SLITRK6,-0.7819602083333332,0.0002383434219355,0.0287212526597865
CDC123,-0.2447775694444445,0.0002403349069993,0.0287212526597865
LHFP,0.47610375,0.0002357463584682,0.0287212526597865
MAP3K14,0.4180136111111103,0.0002450326853903,0.0290201361131007
NPFF,0.6283882638888905,0.0002530916915266,0.0297951057210472
ZIC1,0.6115752777777779,0.0002590544734361,0.0303155413556778
AGT,0.6813525000000009,0.0002666194965014,0.0304752284954558
CDR1,-1.3533740277777784,0.0002651895299333,0.0304752284954558
BCCIP,-0.2337761111111103,0.000264422951511,0.0304752284954558
TMEM47,0.5810312499999988,0.0002659873742844,0.0304752284954558
AGXT2L2,0.3304602083333332,0.0002741088974317,0.0309711547328103
CHL1,0.863559513888891,0.000273914731364,0.0309711547328103
HKR1,0.2816777777777801,0.0002817886873623,0.0316569462488167
ZDHHC8P1,1.0505161111111097,0.0002857604094982,0.0318792791341393
ZNF446,0.3455775694444458,0.0002870108040052,0.0318792791341393
HPS6,-0.2150104861111099,0.0002929438918971,0.0319959828594358
VTI1A,-0.2253808333333324,0.000292562523881,0.0319959828594358
PANX1,-0.3255502777777774,0.0002912316213521,0.0319959828594358
PPA1,-0.3478206249999971,0.0002996470005612,0.0325472929891345
ELOVL2,1.0467561111111117,0.0003109430746288,0.0330440045794777
PCDH11X,-1.4261021527777773,0.000307487518372,0.0330440045794777
AQP4,0.7164486111111099,0.0003102186666708,0.0330440045794777
C2orf78,-0.1301792361111111,0.0003076246295385,0.0330440045794777
GLYATL2,-1.299657083333334,0.0003163400129969,0.0334367992232309
MAB21L1,0.7949053472222225,0.0003236455815897,0.0340260541927998
TNFRSF19,0.5492281249999973,0.0003279160240614,0.0342916437928136
ZNF521,0.4571941666666657,0.0003321199064779,0.0343656703229299
PRPF18,-0.2182128472222215,0.0003320898559734,0.0343656703229299
SHISA2,-1.1478947222222224,0.0003351637787764,0.0344990570196098
REM1,-0.951356041666668,0.000337443467235,0.0345528050304183
CDR2L,-0.4236420138888874,0.000341865980767,0.0348242755537854
ETV4,0.9104797916666678,0.0003569680581354,0.03617521661311
CLEC18B,0.821157430555556,0.0003609068181095,0.0363868104822219
C16orf55,0.3030080555555576,0.0003631156954132,0.0364227274072701
ACY3,0.9420223611111114,0.0003697484250516,0.0365377419265677
GPR108,0.2972351388888885,0.0003689001164582,0.0365377419265677
LARP6,-0.3732997916666676,0.0003701563918317,0.0365377419265677
SH3YL1,0.2467805555555546,0.000371696255611,0.0365377419265677
RAGE,0.453129861111111,0.000385458468974,0.0366092439614983
CLEC18A,0.8271924999999989,0.0003785203760243,0.0366092439614983
TMEM22,0.487661041666664,0.0003825033511711,0.0366092439614983
FSIP1,0.6101775000000007,0.0003834156084217,0.0366092439614983
ZNF528,0.3721302083333349,0.0003824697889167,0.0366092439614983
FBXO18,-0.2547963888888898,0.000383971912548,0.0366092439614983
MYO5C,0.8763746527777778,0.000384896483264,0.0366092439614983
PPP2R2D,-0.1823597222222215,0.0003892034154398,0.0366813656245004
NEIL1,0.4934131944444448,0.0003899494107589,0.0366813656245004
ACCS,0.6769095138888863,0.0003921358588765,0.0367113856452972
VWC2,-1.45512,0.0003947489328359,0.0367427606300819
TMEFF2,-1.5051693749999977,0.0004018155409698,0.0367427606300819
AEBP1,0.7874978472222178,0.0004014447632923,0.0367427606300819
AFAP1L2,-0.6742717361111108,0.0003983956637771,0.0367427606300819
ACADL,1.2267007638888887,0.0003997647677147,0.0367427606300819
ZSCAN5A,0.3325300694444424,0.0004122596000904,0.0368410169899055
BAMBI,-0.6757343055555562,0.0004089497126532,0.0368410169899055
ZNF136,0.2793466666666653,0.0004097616040208,0.0368410169899055
C2orf77,0.5778702777777793,0.0004077729701214,0.0368410169899055
MORN3,0.7533024305555553,0.0004110853555321,0.0368410169899055
ZIC4,0.712737708333333,0.0004166425971717,0.037064223802697
ZNF780A,0.2543164583333333,0.000432672269164,0.0383168324854323
ANGPT1,0.9799093749999992,0.0004361374326986,0.0384505019141527
RAB3IL1,-0.487804652777779,0.0004499986222306,0.0392463342018981
ENTPD2,1.2063894444444443,0.0004532496512103,0.0392463342018981
PLA2G4C,0.4751363888888882,0.0004551456865733,0.0392463342018981
CHMP2A,0.2888158333333326,0.0004526559802985,0.0392463342018981
